SECTOR EMPRESARIAL;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;P16;P17;P18;P19;P20;P21;P22;P23;P24;P25;P26;P27;P28;P29;P30;P31;P32;P33;P34;P35;P36;P37;P38;P39;P40;P41;P42;P43;P44;P45;P46;P47;P48;P49;P50;P51;P52;P53;P54;P55;P56;P57;P58;P59;SOLUCIONES T;AMBIENTE;SISTEMA DE OI;RELACIONES I;OFERTA GS;C CLIENTE;IMAGEN;CALIDAD T;CALIDAD F;IMAGEN
Alimentos;4;4;5;5;4;4;5;4;4;4;4;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;4;5;4;5;5;5;4;4;5;5;5;5;4;4;5;5;4;5;4;4;4;4;5;5;5;5;5;4,43;4,00;4,14;4,21;4,58;4,33;5,00;4,21;4,42;5,00
Alimentos;4;4;4;5;5;4;5;4;4;5;5;5;4;4;5;5;4;5;4;3;3;4;4;5;4;4;5;4;5;5;5;4;4;4;4;4;4;4;4;5;5;5;5;4;5;5;4;4;4;5;4;4;4;5;4;4;5;4;5;4,43;4,60;4,43;4,21;4,37;4,33;4,50;4,47;4,31;4,50
Automotor;5;5;5;5;5;5;5;4;4;5;4;4;4;4;3;4;4;4;3;4;3;3;4;4;5;5;5;4;4;4;5;5;4;4;5;5;3;4;4;4;4;4;4;4;5;5;5;5;5;5;5;5;5;5;3;3;4;4;4;5,00;4,20;3,71;4,21;4,47;4,33;3,75;4,32;4,36;3,75
Automotor;5;5;5;5;4;5;4;4;3;5;5;4;4;5;5;5;4;4;4;4;4;5;5;5;5;5;4;4;4;5;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;3;3;3;3;3;4,71;4,20;4,43;4,64;4,79;4,33;3,00;4,47;4,69;3,00
Comercio exterior;4;5;5;3;3;5;4;5;4;5;3;3;4;4;4;4;4;5;4;4;4;4;4;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5;4;4;4;4;5;5;5;5;5;5;5;5;5;5;5;1;5;5;3;4,14;4,00;4,14;4,57;4,79;5,00;3,50;4,11;4,72;3,50
Construccion;5;4;5;5;5;5;5;5;4;5;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;4;5;5;5;5;5;5;4,86;4,60;5,00;4,93;4,79;4,67;5,00;4,84;4,83;5,00
Construccion;5;4;5;3;5;5;2;4;3;4;3;3;5;4;5;4;5;4;3;4;3;5;3;5;4;3;4;4;4;4;5;3;3;5;5;5;4;4;5;3;5;5;4;5;5;5;4;4;4;4;4;4;3;4;3;3;4;4;4;4,14;3,40;4,29;3,86;4,42;3,33;3,75;4,00;4,11;3,75
Educacion;5;4;4;3;3;4;3;5;3;4;3;4;3;3;4;4;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;3;4;4;3;4;3;3;3;4;4;4;4;2;4;5;5;4;4;5;4;3;4;5;4;5;4;5;3,71;3,80;3,71;3,64;3,84;4,00;4,50;3,74;3,78;4,50
Educacion;3;3;4;2;2;3;2;3;2;3;2;2;2;1;2;2;3;3;3;2;2;1;2;3;3;3;4;3;3;3;3;4;3;3;3;3;2;3;3;3;3;3;2;1;2;4;4;4;3;4;4;3;3;3;4;2;2;3;2;2,71;2,40;2,29;2,79;3,00;3,33;2,25;2,47;2,94;2,25
Educacion;5;4;4;5;5;4;4;5;4;5;4;5;5;5;1;5;5;4;4;5;4;4;5;5;4;5;5;5;5;5;4;5;5;5;5;5;4;5;5;5;5;5;5;5;5;5;5;4;5;5;5;5;5;5;4;4;4;4;5;4,43;4,60;4,14;4,71;4,89;4,67;4,25;4,37;4,81;4,25
Productos quimicos;1;4;1;5;5;5;5;4;3;4;4;2;1;1;1;5;1;3;2;3;4;1;3;5;4;4;5;4;4;5;5;1;1;4;4;5;5;5;5;5;5;5;5;5;4;5;5;4;5;5;5;5;4;4;4;3;4;4;3;3,71;3,40;2,00;3,50;4,79;4,00;3,50;3,00;4,22;3,50
Salud;5;5;5;5;5;4;4;5;5;5;5;4;5;5;5;5;4;4;5;4;4;5;4;5;4;4;3;5;4;4;5;5;4;5;4;5;4;4;5;5;5;5;4;4;5;5;4;4;4;5;5;5;5;4;4;5;3;3;3;4,71;4,80;4,71;4,29;4,58;4,33;3,50;4,74;4,44;3,50
Salud;5;5;4;5;5;5;5;2;4;5;5;5;4;4;4;4;5;4;4;4;4;4;4;4;4;4;5;4;4;4;4;5;4;4;4;4;4;5;5;5;5;4;4;;5;5;5;4;4;5;4;4;4;4;4;4;4;4;4;4,86;4,20;4,14;4,14;4,44;4,00;4,00;4,42;4,29;4,00
Servicios al comercio;5;3;4;4;4;5;3;4;4;5;3;4;4;3;3;3;4;4;4;3;3;2;2;4;3;3;2;4;4;4;4;4;2;4;3;3;4;3;3;4;3;2;2;4;4;5;5;3;2;4;4;4;3;2;2;4;2;4;3;4,00;4,00;3,57;3,14;3,47;2,33;3,25;3,84;3,25;3,25
Servicios al comercio;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;5;4;4;5;4;5;5;5;5;5;5;5;5;5;5,00;5,00;5,00;4,86;4,84;5,00;5,00;5,00;4,86;5,00
Servicios al comercio;4;5;4;5;4;4;5;4;4;4;4;5;5;5;5;5;5;5;5;4;5;4;4;4;3;3;4;5;4;4;4;5;5;4;4;5;5;4;4;4;4;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4,43;4,20;5,00;4,14;4,26;4,00;4,00;4,58;4,19;4,00
Servicios al comercio;4;2;4;4;3;4;3;3;2;1;2;2;3;2;4;3;3;3;3;4;3;3;3;3;3;3;3;4;4;3;4;4;3;2;2;4;4;4;4;2;4;3;3;3;2;4;4;1;3;5;3;3;3;3;3;3;3;3;3;3,43;2,00;3,00;3,36;3,16;3,00;3,00;2,89;3,22;3,00
Servicios al comercio;3;3;3;3;5;3;3;5;3;4;5;5;4;3;3;3;4;4;4;3;3;3;3;4;4;4;4;4;4;4;4;4;4;2;3;3;3;4;4;3;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;4;4;4;4;3,29;4,40;3,57;3,71;3,63;3,67;4,00;3,68;3,67;4,00
